Apartment_code,project_id,Project URL,project_name_eng,city_id_eng,region_id_eng,District_Residential_area_eng,allow_payment_by_cash,allow_payment_by_loan,project_latitude,project_longitude,publish_date,Construction_Completion_Percentage,sakani_beneficiary_price,non_sakani_beneficiary_price,apatment_area_meter,living_area,floor,bathroom_count,apartment_type_eng,number_of_rooms,master_bedroom_size,living_room_size,kitchen_size,guestroom_size,apartment_for_sakani_beneficiary,apartment_for_non_sakani_beneficiary,construction_status_eng
A00019,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,237880.30717,299500.0,135.4,13.75,4,4,apartment,2.0,18.7,16.0,8.8,17.6,0,0,Not started - selling on the map
A00020,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,234542.25264,299500.0,133.5,13.75,4,4,apartment,2.0,18.7,16.0,8.8,17.2,0,0,Not started - selling on the map
A00021,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,219608.85079,299500.0,125.0,13.75,4,4,apartment,2.0,18.7,13.6,8.8,15.2,0,0,Not started - selling on the map
A00022,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,226987.70817,299500.0,129.2,13.75,5,4,apartment,2.0,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00023,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,237880.30717,299500.0,135.4,13.75,5,4,apartment,2.0,18.7,16.0,8.8,17.6,0,0,Not started - selling on the map
A00024,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,234542.25264,299500.0,133.5,13.75,5,4,apartment,2.0,18.7,16.0,8.8,17.2,0,0,Not started - selling on the map
A00025,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,219608.85079,299500.0,125.0,13.75,5,4,apartment,2.0,18.7,13.6,8.8,15.2,0,0,Not started - selling on the map
A00026,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,226987.70817,299500.0,129.2,13.75,6,4,apartment,2.0,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00027,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,237880.30717,299500.0,135.4,13.75,6,4,apartment,2.0,18.7,16.0,8.8,17.6,0,0,Not started - selling on the map
A00028,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,234542.25264,299500.0,133.5,13.75,6,4,apartment,2.0,18.7,16.0,8.8,17.2,0,0,Not started - selling on the map
A00029,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,305695.52029,419626.0,174.0,21.92,3,4,apartment,3.0,20.1,15.0,14.7,19.2,0,0,Not started - selling on the map
A00030,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,314479.87432,419500.0,179.0,21.88,3,4,apartment,3.0,20.1,16.8,14.7,15.0,0,0,Not started - selling on the map
A00031,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,308155.13942,419668.0,175.4,21.93,3,4,apartment,3.0,20.1,16.8,14.7,16.9,0,0,Not started - selling on the map
A00032,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,309209.26191,419626.0,176.0,21.92,3,4,apartment,3.0,20.1,15.0,14.7,21.1,0,0,Not started - selling on the map
A00033,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,305695.52029,419626.0,174.0,21.92,4,4,apartment,3.0,20.1,15.0,14.7,19.2,0,0,Not started - selling on the map
A00034,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,314479.87432,419500.0,179.0,21.88,4,4,apartment,3.0,20.1,16.8,14.7,15.0,0,0,Not started - selling on the map
A00035,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,308155.13942,419668.0,175.4,21.93,4,4,apartment,3.0,20.1,16.8,14.7,16.9,0,0,Not started - selling on the map
A00036,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,309209.26191,419626.0,176.0,21.92,4,4,apartment,3.0,20.1,15.0,14.7,21.1,0,0,Not started - selling on the map
A00037,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,305695.52029,419626.0,174.0,21.92,5,4,apartment,3.0,20.1,15.0,14.7,19.2,0,0,Not started - selling on the map
A00038,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,314479.87432,419500.0,179.0,21.88,5,4,apartment,3.0,20.1,16.8,14.7,15.0,0,0,Not started - selling on the map
A00039,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,308155.13942,419668.0,175.4,21.93,5,4,apartment,3.0,20.1,16.8,14.7,16.9,0,0,Not started - selling on the map
A00040,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,309209.26191,419626.0,176.0,21.92,5,4,apartment,3.0,20.1,15.0,14.7,21.1,0,0,Not started - selling on the map
A00041,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,305695.52029,419626.0,174.0,21.92,6,4,apartment,3.0,20.1,15.0,14.7,19.2,0,0,Not started - selling on the map
A00042,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,314479.87432,419500.0,179.0,21.88,6,4,apartment,3.0,20.1,16.8,14.7,15.0,0,0,Not started - selling on the map
A00043,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,308155.13942,419668.0,175.4,21.93,6,4,apartment,3.0,20.1,16.8,14.7,16.9,0,0,Not started - selling on the map
A00044,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,309209.26191,419626.0,176.0,21.92,6,4,apartment,3.0,20.1,15.0,14.7,21.1,0,0,Not started - selling on the map
A00045,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,305695.52029,419626.0,174.0,21.92,7,4,apartment,3.0,20.1,15.0,14.7,19.2,0,0,Not started - selling on the map
A00046,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,314479.87432,419500.0,179.0,21.88,7,4,apartment,3.0,20.1,16.8,14.7,15.0,0,0,Not started - selling on the map
A00047,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,308155.13942,419668.0,175.4,21.93,7,4,apartment,3.0,20.1,16.8,14.7,16.9,0,0,Not started - selling on the map
A00048,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,309209.26191,419626.0,176.0,21.92,7,4,apartment,3.0,20.1,15.0,14.7,21.1,0,0,Not started - selling on the map
A00049,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,250000.0,330190.0,152.5,19.76,0,3,apartment,3.0,20.1,16.8,14.7,15.4,1,0,Not started - selling on the map
A00050,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,250000.0,366029.0,169.2,20.0,0,3,apartment,3.0,20.1,16.8,15.0,15.2,1,0,Not started - selling on the map
A00051,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,323442.0,462927.0,214.1,23.09,0,3,apartment,4.0,15.8,18.6,11.2,15.2,1,0,Not started - selling on the map
A00052,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,330562.0,470468.0,217.7,22.02,0,3,apartment,3.0,16.7,21.6,15.2,17.4,1,0,Not started - selling on the map
A00053,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,226.7,25.44,1,4,apartment,4.0,16.7,19.7,15.2,16.6,1,0,Not started - selling on the map
A00054,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,222.8,25.44,2,4,apartment,4.0,16.7,20.0,15.2,16.0,1,0,Not started - selling on the map
A00055,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,226.7,25.44,2,4,apartment,4.0,16.7,19.7,15.2,16.6,1,0,Not started - selling on the map
A00056,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,225.1,25.44,3,4,apartment,4.0,15.8,18.6,15.2,22.4,1,0,Not started - selling on the map
A00057,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,222.8,25.44,3,4,apartment,4.0,16.7,20.0,15.2,16.0,1,0,Not started - selling on the map
A00058,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,225.1,25.44,4,4,apartment,4.0,15.8,18.6,15.2,22.4,1,0,Not started - selling on the map
A00059,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,222.8,25.44,4,4,apartment,4.0,16.7,20.0,15.2,16.0,1,0,Not started - selling on the map
A00060,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,226.7,25.44,4,4,apartment,4.0,16.7,19.7,15.2,16.6,1,0,Not started - selling on the map
A00061,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,224.7,25.44,4,4,apartment,4.0,15.8,18.6,15.2,22.8,1,0,Not started - selling on the map
A00062,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,225.1,25.44,5,4,apartment,4.0,15.8,18.6,15.2,22.4,1,0,Not started - selling on the map
A00063,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,222.8,25.44,5,4,apartment,4.0,16.7,20.0,15.2,16.0,1,0,Not started - selling on the map
A00064,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,226.7,25.44,5,4,apartment,4.0,16.7,19.7,15.2,16.6,1,0,Not started - selling on the map
A00065,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,224.7,25.44,5,4,apartment,4.0,15.8,18.6,15.2,22.8,1,0,Not started - selling on the map
A00066,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,225.1,25.44,6,4,apartment,4.0,15.8,18.6,15.2,22.4,1,0,Not started - selling on the map
A00067,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,222.8,25.44,6,4,apartment,4.0,16.7,20.0,15.2,16.0,1,0,Not started - selling on the map
A00068,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,226.7,25.44,6,4,apartment,4.0,16.7,19.7,15.2,16.6,1,0,Not started - selling on the map
A00069,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,224.7,25.44,6,4,apartment,4.0,15.8,18.6,15.2,22.8,1,0,Not started - selling on the map
A00070,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,225.1,25.44,7,4,apartment,4.0,15.8,18.6,15.2,22.4,1,0,Not started - selling on the map
A00071,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,222.8,25.44,7,4,apartment,4.0,16.7,20.0,15.2,16.0,1,0,Not started - selling on the map
A00072,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,2021-01-25,0.0,539500.0,539500.0,224.7,25.44,7,4,apartment,4.0,15.8,18.6,15.2,22.8,1,0,Not started - selling on the map
A00073,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064680.0,1532674.0,399.98,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00074,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064693.0,1532693.0,400.0,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00075,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1111788.0,1579786.0,399.99,389.0,0,4,villa,5.0,22.5,36.0,9.5,25.0,1,0,Not started - selling on the map
A00076,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064693.0,1532693.0,400.0,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00077,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1111795.0,1579795.0,400.0,389.0,0,4,villa,5.0,22.5,36.0,9.5,25.0,1,0,Not started - selling on the map
A00078,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064680.0,1532674.0,399.98,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00079,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064693.0,1532693.0,400.0,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00080,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064673.0,1532664.0,399.97,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00081,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064680.0,1532674.0,399.98,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00082,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1111795.0,1579795.0,400.0,389.0,0,4,villa,5.0,22.5,36.0,9.5,25.0,1,0,Not started - selling on the map
A00083,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064673.0,1532664.0,399.97,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00084,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064693.0,1532693.0,400.0,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00085,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064693.0,1532693.0,400.0,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00086,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1111795.0,1579795.0,400.0,389.0,0,4,villa,5.0,22.5,36.0,9.5,25.0,1,0,Not started - selling on the map
A00087,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1064680.0,1532674.0,399.98,372.0,0,4,villa,4.0,25.0,36.0,9.5,25.0,1,0,Not started - selling on the map
A00088,15,https://sakani.sa/app/offplan-projects/15,Abha - Ali Shar - Abha Hills,Abha,Asir,Al-Ta'awun,1,1,18.286109,42.513347,2023-01-23,0.0,1111795.0,1579795.0,400.0,389.0,0,4,villa,5.0,22.5,36.0,9.5,25.0,1,0,Not started - selling on the map
